Name,Latitude,Longitude,URL,Location,info,applicationDeadline,percentOfAdmitted,SATT,SATR,SATM,SATW,ACTC,ACTE,ACTM,tuition,in_state,out_state,room,book,undergraduate,category,setting,student_faculty,percentOfWomen
Xavier University of Louisiana,29.9646153,-90.106809,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2009/10/30/1530748/1100595_Xavier_University_of_Louisiana.jpg,"New Orleans, LA","Xavier, founded in 1925, is a church-affiliated, liberal arts university. Its 29-acre, urban campus is located in New Orleans.","Regular Decision: Jul 1, 2015
			Early Action: Oct 15, 2014","64%
         
          of Applicants Admitted",1290-1630 SAT Total,430-560 SAT Reading,440-550 SAT Math,420-520 SAT Writing,19-25 ACT Composite,19-25 ACT English,18-24 ACT Math,"$28,409

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $17,700","Out-of-State Tuition: $17,700","Room and Board: $1,909","Books & Supplies: $1,200","2,883number of undergraduates",private-non-profit,Setting: city,54% Women,
Albany State University,31.5715542,-84.144294,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2008/3/14/335194/2400007_Albany_State_University.jpg,"Albany, GA","Albany State, a public, historically black, liberal arts university, was founded in 1903 as the Albany Bible and Manual Training Institute. In 1917, it became the state-supported, two-year Georgia Normal and Agricultural College; in 1943 it became a four-year institution and was renamed Albany State College; and in 1996 it gained university status. Programs are offered through the Schools of Arts and Sciences, Business, Education, and Nursing. The 206-acre campus is located in southwest Georgia, 180 miles from Atlanta.","Regular Decision: Jul 1, 2015","29%
         
          of Applicants Admitted",390-450 SAT Reading,390-460 SAT Math,,,16-19 ACT Composite,16-19 ACT English,15-19 ACT Math,"$16,888

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $3,610","Out-of-State Tuition: $13,128","Room and Board: $3,970","Books & Supplies: $1,808","4,769number of undergraduates",public,Setting: city,58% Women,
Sonoma State University,38.3393866,-122.6741812,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/imagefield_default_images/zinch-default.png,"Rohnert Park, CA","Sonoma State, founded in 1960, is a public, comprehensive university. Its 220-acre campus is located in Rohnert Park, 45 miles north of San Francisco.","Regular Decision: Nov 30, 2014","85%
         
          of Applicants Admitted",450-560 SAT Reading,450-560 SAT Math,,,19-24 ACT Composite,18-24 ACT English,18-25 ACT Math,"$22,572

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,472","Out-of-State Tuition: $17,130","Room and Board: $4,474","Books & Supplies: $1,665","8,146number of undergraduates",public,Setting: suburban,53% Women,
University of Central Arkansas,35.080898,-92.4548562,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2010/12/06/45-36324__university_of_central_arkansas.gif,"Conway, AR","The University of Central Arkansas is a public institution. It was founded as a teacher's college in 1907, became a state college in 1967, and gained university status in 1975. Programs are offered through the Colleges of Business Administration, Education, Fine Arts and Communication, Health and Applied Sciences, Liberal Arts, and Natural Sciences and Mathematics; the Division of Continuing Education; and the Honors College. Its 365-acre campus is located in Conway, 30 miles north of Little Rock.",Offers Rolling Admission,"93%
         
          of Applicants Admitted",,,,,20-26 ACT Composite,20-27 ACT English,18-25 ACT Math,"$16,219

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,498","Out-of-State Tuition: $10,995","Room and Board: $4,251","Books & Supplies: $1,200","10,827number of undergraduates",public,Setting: town,47% Women,
Marietta College,39.4145456,-81.4491067,http://z2.cheggcdn.com/sites/default/files/2010/12/16/marietta_college_pf.jpg,"Marietta, OH","Marietta College is a private, coeducational liberal arts college located in Marietta, Ohio.  Founded in 1835, the college is one of America's 37 ""Revolutionary Colleges,"" institutions with roots dating back to the 18th century.The school's mission is to provide students with an integrated, multidisciplinary approach to critical analysis, problem solving, and the leadership skills required to translate what is learned into effective action.Marietta offers over 40 undergraduate programs, including journalism, engineering, leadership, sciences, and education.
			Read More","Regular Decision: Apr 15, 2015","68%
         
          of Applicants Admitted",460-590 SAT Reading,490-600 SAT Math,,,21-26 ACT Composite,20-26 ACT English,20-26 ACT Math,"$42,146

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $30,090","Out-of-State Tuition: $30,090","Room and Board: $1,360","Books & Supplies: $1,136","1,635number of undergraduates",private-non-profit,Setting: suburban,42% Women,
Aquinas College,42.960615,-85.626164,http://z2.cheggcdn.com/sites/default/files/2008/03/07/331774_52fa93b479271_zinch_profile_2.jpg,"Grand Rapids, MI","Founded in 1961, Aquinas College offers a dynamic academic experience in a welcoming and supportive Catholic environment on our beautiful 83-acre campus in Nashville, Tennessee. Guided by our outstanding faculty and the Dominican Sisters of St. Cecilia Congregation, Aquinas integrates the liberal arts and Catholic teaching into all courses.  With our 19 programs of study in our four schools: nursing, education, business, and arts and sciences, Aquinas confers the following degrees:  associates, bachelor’s, master’s, and post-master certificates. The center of the campus’ spiritual life .....","Regular Decision: Mar 1, 2015","79%
         
          of Applicants Admitted",,,,,21-26 ACT Composite,20-27 ACT English,19-26 ACT Math,"$35,232

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $25,070","Out-of-State Tuition: $25,070","Room and Board: $1,552",Books & Supplies: $800,"2,052number of undergraduates",private-non-profit,Setting: city,53% Women,
Westminster College,41.1180966,-80.3282631999999,http://z2.cheggcdn.com/sites/default/files/2010/12/16/westminster_college_ut_pf.jpg,"Salt Lake City, UT","Westminster College is Utah’s only nationally recognized, private comprehensive liberal arts college.

The College benefits from the cosmopolitan offerings of Salt Lake City and the recreational opportunities of the nearby Rocky Mountains.

But it makes sure campus life is just as engaging. Within its 70 different academic programs are unique offerings like the popular four-year Aviation program.

Students can join one of 45 active clubs or take part in a service-learning project through the Volunteer Center.

And for all that Westminster offers, it is consistently ranked as a top .....","Regular Decision: Aug 15, 2015","70%
         
          of Applicants Admitted",500-613 SAT Reading,500-620 SAT Math,,,22-27 ACT Composite,21-28 ACT English,21-26 ACT Math,"$40,010

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $27,720","Out-of-State Tuition: $27,720","Room and Board: $3,400","Books & Supplies: $1,000","2,916number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 10:1,39% Women
The University of West Florida,30.5451023,-87.2163160999999,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2010/12/06/42-uwfseal.jpg,"Pensacola, FL","University of West Florida, founded in 1963, is a public institution. Its 1,600-acre campus is located in Pensacola.","Regular Decision: Jun 30, 2015","61%
         
          of Applicants Admitted",1330-1620 SAT Total,450-550 SAT Reading,450-540 SAT Math,430-530 SAT Writing,20-25 ACT Composite,20-25 ACT English,19-24 ACT Math,"$16,900

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $3,682","Out-of-State Tuition: $15,955","Room and Board: $3,600","Books & Supplies: $1,200","12,160number of undergraduates",public,Setting: city,47% Women,
University of New Orleans  UNO ,30.0292173,-90.0648623,http://z2.cheggcdn.com/sites/default/files/2007/10/12/198055_512bdc2865a43_heartbeat.jpg,"New Orleans, LA","Founded in 1958, the University of New Orleans is a public, urban research institution located in one of the world's most facinating and unique cities.  No other city offers the same extraordinary mix of history, culture, and innovation, and no other institution offers the same exciting opportunities to learn and work.  Whether you perform at a local jazz club or apply your knowledge of naval architecture to a local ship building operation, you’ll put what you’ve learned at UNO into action long before you graduate.","Regular Decision: Jul 25, 2015","49%
         
          of Applicants Admitted",480-648 SAT Reading,482-610 SAT Math,,,20-25 ACT Composite,21-26 ACT English,20-24 ACT Math,"$18,018

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,164","Out-of-State Tuition: $17,176","Room and Board: $3,050","Books & Supplies: $1,300","10,144number of undergraduates",public,Setting: city,Student/Faculty ratio: 18:1,38% Women
Millikin University,39.8424639,-88.9742951,http://z2.cheggcdn.com/sites/default/files/2011/05/16/millikin_towerbanner.jpg,"Decatur, IL","Performance learning makes all the difference at Millikin University.Millikin University is a private, comprehensive four-year university in Decatur, Ill., with approximately 2,200 students in traditional and non-traditional undergraduate and Master's degree programs.We believe the most successful way for students to learn is to give them real-world experiences outside of the classroom. You'll gain knowledge and experience through internships, public performances, consulting projects, student-run businesses, and working one-on-one with professors.That .....","Regular Decision: May 1, 2015","55%
         
          of Applicants Admitted",1330-1740 SAT Total,440-600 SAT Reading,460-560 SAT Math,430-580 SAT Writing,20-26 ACT Composite,20-27 ACT English,19-29 ACT Math,"$39,672

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $28,828","Out-of-State Tuition: $28,828","Room and Board: $4,887","Books & Supplies: $1,000","2,153number of undergraduates",private-non-profit,Setting: city,57% Women,
Calvin College,42.9298813,-85.5876528999999,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2007/09/25/logo.jpg,"Grand Rapids, MI","Calvin is a Christian college that doesn't shy away from being Christian in every way. It also doesn't shy away from being 100% committed to exploring every inch of the world through over 100 academic programs and 40+ off-campus study opportunities. Whether you study philosophy with world-renowned scholars, mechanical engineering with experienced engineers or media production with Emmy-award winning producers, you'll develop the knowledge, skills and passion you need to not just get a job, but live a life full of meaning and integrity.","Regular Decision: Aug 15, 2015","75%
         
          of Applicants Admitted",520-670 SAT Reading,540-690 SAT Math,,,24-30 ACT Composite,23-31 ACT English,23-29 ACT Math,"$39,130

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $26,480","Out-of-State Tuition: $26,480","Room and Board: $2,510","Books & Supplies: $1,030","4,095number of undergraduates",private-non-profit,"Setting: city,suburban",Student/Faculty ratio: 11:1,51% Women
Sewanee: The University of the South,35.2050177,-85.9208646,http://z2.cheggcdn.com/sites/default/files/2010/12/16/sewanee_university_of_the_south_pf.jpg,"Sewanee, TN","Welcome to Sewanee: The University of the South, home of one of the nation's top liberal arts colleges, a School of Letters, and a seminary of the Episcopal Church.Known simply as ""Sewanee"" by its students, faculty, staff and friends, the University offers an unmatched educational experience. The University remains purposefully small and dedicated to building a sense of community. The University has had 26 Rhodes Scholars--a number that puts Sewanee in the top four nationally among American liberal arts colleges--as well as 26 NCAA Postgraduate Fellows, 36 Watson .....","Regular Decision: Feb 1, 2015
			Early Decision: Nov 15, 2014Early Action: Dec 1, 2014","59%
         
          of Applicants Admitted",1740-2010 SAT Total,590-690 SAT Reading,580-660 SAT Math,570-660 SAT Writing,26-30 ACT Composite,26-33 ACT English,25-29 ACT Math,"$44,593

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $32,777","Out-of-State Tuition: $32,777","Room and Board: $1,100",Books & Supplies: $800,"1,590number of undergraduates",private-non-profit,Setting: rural,Student/Faculty ratio: 10:1,46% Women
Midwestern State University  MSU ,33.876197,-98.5198199999999,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2008/2/12/322929/MidwesternState-04-30-2008-16-38-22.jpg,"Wichita Falls, TX","Midwestern State University, located in Wichita Falls, Texas, was founded in 1922 and is now a regional state university.  MSU offers a variety of academic liberal and fine arts programs, as well as programs in mathematics, sciences, and businessMSU is excels in teaching and research, and encourages creativity and service in a challenging environment. A number of on-campus curricular and co-curricular activities encourage students' intellectual, social, and physical growth and provide opportunities to found lasting relationships. Students from Midwestern State University are .....","Regular Decision: Aug 7, 2015","75%
         
          of Applicants Admitted",1330-1630 SAT Total,440-540 SAT Reading,470-570 SAT Math,420-520 SAT Writing,19-23 ACT Composite,18-23 ACT English,19-24 ACT Math,"$14,730

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $4,845","Out-of-State Tuition: $6,795","Room and Board: $1,598","Books & Supplies: $1,200","6,327number of undergraduates",public,Setting: city,Student/Faculty ratio: 17:1,51% Women
Averett University,36.5783583,-79.4114136,http://z2.cheggcdn.com/sites/default/files/2011/02/07/averett_u_logo.jpg,"Danville, VA","Averett University is an institution with a commitment to helping students realize an excellent education no matter their circumstances.  Students of Averett include recent high school graduates, those who work full time as professionals, and those transferring from other colleges and universities.With their   in Danville, VA, Averett offers liberal arts combined with professional education to ensure that students develop the abilities and habits that will allow them to succeed in the ever-changing world. AU also offers flexible programs for working professionals that .....","Regular Decision: Jul 15, 2015","58%
         
          of Applicants Admitted",450-520 SAT Reading,420-530 SAT Math,,,16-21 ACT Composite,,,"$37,280

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $25,950","Out-of-State Tuition: $25,950","Room and Board: $1,960","Books & Supplies: $1,000",934number of undergraduates,private-non-profit,Setting: town,Student/Faculty ratio: 10:1,48% Women
Jacksonville University,30.359059,-81.6065429999999,http://z2.cheggcdn.com/sites/default/files/2010/12/16/jacksonville_university_pf.jpg,"Jacksonville, FL","Founded  in 1934, Jacksonville University is a private liberal arts university that combines the advantages of a liberal arts college with the strengths of a comprehensive urban university. The world-class academic programs and resources offered here endow students at all levels with a collaborative focus, a global perspective and upward mobility. Its 260-acre campus is located near downtown Jacksonville.","Regular Decision: Jun 1, 2015","45%
         
          of Applicants Admitted",460-560 SAT Reading,460-560 SAT Math,,,20-25 ACT Composite,,,"$42,824

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $29,100","Out-of-State Tuition: $29,100","Room and Board: $2,954","Books & Supplies: $1,000","4,159number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 13:1,55% Women
North Carolina Central University,35.9754591,-78.8997506,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2009/10/30/1530804/1100867_North_Carolina_Central_University.jpg,"Durham, NC","North Carolina Central is a public, comprehensive university. Founded in 1909 as a private institution, it joined the state system in 1923. Its 110-acre campus is located in Durham, 25 miles northwest of Raleigh.","Regular Decision: Aug 1, 2015","52%
         
          of Applicants Admitted",1160-1390 SAT Total,390-460 SAT Reading,400-480 SAT Math,370-450 SAT Writing,15-19 ACT Composite,13-20 ACT English,16-19 ACT Math,"$16,040

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $3,244","Out-of-State Tuition: $13,817","Room and Board: $2,310","Books & Supplies: $1,500","7,476number of undergraduates",public,Setting: city,52% Women,
FIDM - Fashion Institute of Design & Merchandising-Los Angeles,34.04445,-118.259677,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/10/21/fidm.jpg,"Los Angeles, CA","FIDM/Fashion Institute of Design & Merchandising has been educating students for careers in the fashion and entertainment industries for over 40 years. FIDM is an accredited college with four California campuse: Los Angeles, San Francisco, Orange County, and San Diego. Our goal is to give students the best college education possible while preparing them to launch their career immediately. FIDM offers several degree options, including a four-year Bachelor of Science degree; 20 creative business and design majors, and an unparalleled Career Center with a database of over 24,000 employers and .....","Offers Rolling Admission
			Early Decision: Jan 1, 2014Early Action: Jan 1, 2014","58%
         
          of Applicants Admitted",,,,,,,,"$28,921

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $26,660","Out-of-State Tuition: $26,660",Room and Board: $0,"Books & Supplies: $2,261","5,799number of undergraduates",,88% Women,,
Colorado School of Mines,39.749451,-105.220266199999,http://z2.cheggcdn.com/sites/default/files/2010/12/16/colorado_school_of_mines_0.jpg,"Golden, CO","The Colorado School of Mines, founded in 1874, is a public college of engineering and science studies. Its 373-acre campus is located in Golden, 20 miles west of Denver.","Regular Decision: Apr 1, 2015","45%
         
          of Applicants Admitted",1730-2025 SAT Total,570-675 SAT Reading,630-710 SAT Math,530-640 SAT Writing,27-31 ACT Composite,25-31 ACT English,27-33 ACT Math,"$27,437

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $13,590","Out-of-State Tuition: $28,620","Room and Board: $2,425","Books & Supplies: $1,500","4,118number of undergraduates",public,Setting: suburban,Student/Faculty ratio: 17:1,16% Women
Wofford College,34.9588759,-81.934516,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/09/12/wofford_sqlogo.jpg,"Spartanburg, SC","Wofford College, where taking chances is all part of the plan!	We are an independent liberal arts college, and we offer bachelor's degrees in 26 major fields of study and are well known for our programs leading to graduate and professional studies  medicine and other health professions, law and the ministry . Affiliated with the United Methodist Church, the college is committed to quintessential undergraduate education within the context of values-based inquiry.Wofford is located a few blocks north of the central business district of Spartanburg, S.C., an international .....","Regular Decision: Feb 1, 2015
			Early Decision: Nov 1, 2014Early Action: Nov 15, 2014","63%
         
          of Applicants Admitted",1630-1950 SAT Total,540-650 SAT Reading,560-670 SAT Math,530-630 SAT Writing,23-29 ACT Composite,23-30 ACT English,21-29 ACT Math,"$46,969

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $33,395","Out-of-State Tuition: $33,395","Room and Board: $2,454","Books & Supplies: $1,200","1,617number of undergraduates",private-non-profit,Setting: city,49% Women,
Point University,33.6852841,-84.4758719999999,http://z2.cheggcdn.com/sites/default/files/2011/06/29/pointu_stacked.png,"West Point , GA","Point University  formerly Atlanta Christian College  of West Point, Georgia, is committed to educating leaders for service to God in a setting that encourages academic excellence, spiritual engagement and global responsibility. Offering traditional and online courses, Point University prepares students for careers in the ministry, business, education, and the humanities while supporting a Christian worldview.  Students also enjoy a small student-faculty ratio and a supportive Christian community, including competitive athletics. Non-traditional students can often convert work .....","Regular Decision: Aug 5, 2015","56%
         
          of Applicants Admitted",400-500 SAT Reading,420-490 SAT Math,,,17-21 ACT English,16-20 ACT Math,,"$24,000

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $16,700","Out-of-State Tuition: $16,700","Room and Board: $6,350",Books & Supplies: $0,"1,501number of undergraduates",private-non-profit,Setting: suburban,61% Women,
Illinois Wesleyan University,40.4909408,-88.9902736,http://z2.cheggcdn.com/sites/default/files/2011/05/16/3409411_50ff22eb6c56a_illinois-wesleyan-seal.png,"Bloomington, IL","At Illinois Wesleyan, we know you are more likely to succeed in college and life if you are doing something you truly love. That's why we are committed to helping you discover and pursue your passions, both inside and outside the classroom. Students who do so are more likely to perform better academically, graduate on time, and, most importantly, find a career they love. Choose from 80 majors, minors and programs, including business, the sciences, humanities, fine arts, nursing and more. Take part in 165 student organizations, including 20 varsity teams. We're one of the nation's leading .....","Regular Decision: Nov 1, 2014
			Early Action: Nov 15, 2014","58%
         
          of Applicants Admitted",1110-1350 SAT Total,540-650 SAT Reading,570-700 SAT Math,,25-30 ACT Composite,25-31 ACT English,25-29 ACT Math,"$48,342

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $39,316","Out-of-State Tuition: $39,316","Room and Board: $9,136",Books & Supplies: $800,"2,105number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 11:1,56% Women
University of Colorado at Colorado Springs  UCCS ,38.8923617,-104.798907699999,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/12/20/262770/1100356_University_of_Colorado_at_Colorado_Springs.jpg,"Colorado Springs, CO","U Colorado at Colorado Springs, founded in 1965, is a public university. Programs are offered through the Colleges of Letters, Arts, and Sciences; Business Administration, and Engineering and Applied Science; the School of Education; Beth-El College of Nursing and Health Services; and the Graduate School of Public Affairs. Its 501-acre campus is located in Colorado Springs, 60 miles from Denver.",Offers Rolling Admission,"60%
         
          of Applicants Admitted",1435-1760 SAT Total,485-590 SAT Reading,490-600 SAT Math,460-570 SAT Writing,21-25 ACT Composite,20-26 ACT English,20-26 ACT Math,"$18,540

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,640","Out-of-State Tuition: $16,720","Room and Board: $2,800","Books & Supplies: $1,800","10,027number of undergraduates",public,Setting: city,40% Women,
University of Wyoming  UW ,41.3083564,-105.5678636,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/9/178964/178964-05-28-2010-13-46-04.jpg,"Laramie, WY","The University of Wyoming, located in the rugged mountains of Laramie, is known as one of the best values in higher education and offers more than 200 degrees and programs.Students of UW reap the benefits of attending a major university along with the personal attention and support of an excellent faculty and staff.  This rigorous education is reflected in the accomplishments of UW graduates as they complete their degrees in an environment devoted to achievement.The University of Wyoming provides the perfect backdrop for a solid educational experience. Find .....","Regular Decision: Aug 10, 2015","96%
         
          of Applicants Admitted",490-600 SAT Reading,490-630 SAT Math,,,22-27 ACT Composite,21-27 ACT English,21-27 ACT Math,"$15,918

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $2,544","Out-of-State Tuition: $9,864","Room and Board: $3,090","Books & Supplies: $1,200","11,480number of undergraduates",public,Setting: suburban,41% Women,
California State University-Dominguez Hills  CSUDH ,33.866936,-118.25499,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/imagefield_default_images/zinch-default.png,"Carson, CA","California State at Dominguez Hills, founded in 1965, is a public, comprehensive university. Its 346-acre campus is located 20 miles from Los Angeles.","Regular Decision: Nov 30, 2014","53%
         
          of Applicants Admitted",370-460 SAT Reading,370-470 SAT Math,,,15-19 ACT Composite,13-20 ACT English,16-20 ACT Math,"$21,661

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,472","Out-of-State Tuition: $17,130","Room and Board: $3,791","Books & Supplies: $1,665","12,658number of undergraduates",public,Setting: city,51% Women,
Northwest Missouri State University,40.3524495,-94.8822531999999,http://z2.cheggcdn.com/sites/default/files/2010/12/16/northwest_missouri_state_university_pf.jpg,"Maryville, MO","As a Northwest Missouri State University student, you will receive a well-rounded education through small classes where the professors know your name, innovative hands-on learning opportunities, more than 150+ student organizations and access to the latest technology through our laptop rental program. Northwest offers 124 rigorous programs of study, and an average class size of 27 allows your professors to provide one-on-one supportive instruction.","Offers Rolling Admission
			Early Decision: Jan 1, 2014Early Action: Jan 1, 2014","64%
         
          of Applicants Admitted",930-1170 SAT Total,480-530 SAT Reading,460-570 SAT Math,,20-25 ACT Composite,19-25 ACT English,18-25 ACT Math,"$15,019

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $7,988","Out-of-State Tuition: $14,239","Room and Board: $8,896",Books & Supplies: $500,"5,542number of undergraduates",public,Setting: town,Student/Faculty ratio: 22:1,55% Women
Roosevelt University,41.8760807,-87.6249359999999,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/9/188436/1100540_Roosevelt_University.jpg,"Chicago, IL","Roosevelt was founded on principle: higher education should be available to all academically qualified students, regardless of demographics. This 1945 “experiment” has been a success from the start. Today, Roosevelt is the fourth most ethnically diverse university in the Midwest  U.S. News and World Report, 2013  and a national leader in preparing students to assume meaningful, purposeful roles in the world community. We offer 70 undergraduate majors/programs and 45 graduate majors/programs at our lakefront Chicago Campus along Michigan Ave., our northwest suburban Schaumburg Campus, and .....","Regular Decision: Aug 15, 2014","76%
         
          of Applicants Admitted",1410-1753 SAT Total,490-600 SAT Reading,470-583 SAT Math,450-570 SAT Writing,20-25 ACT Composite,20-25 ACT English,18-24 ACT Math,"$43,650

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $25,950","Out-of-State Tuition: $25,950","Room and Board: $4,400","Books & Supplies: $1,200","4,486number of undergraduates",private-non-profit,Setting: city,Student/Faculty ratio: 12:1,37% Women
California State University-Monterey Bay  CSUMB ,36.6544788,-121.8080939,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/imagefield_default_images/zinch-default.png,"Seaside, CA",,"Regular Decision: Nov 30, 2014","47%
         
          of Applicants Admitted",430-550 SAT Reading,430-550 SAT Math,,,18-23 ACT Composite,17-24 ACT English,17-24 ACT Math,"$18,405

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,472","Out-of-State Tuition: $17,130","Room and Board: $2,199","Books & Supplies: $1,236","5,170number of undergraduates",public,Setting: rural,56% Women,
Seattle Pacific University  SPU ,47.6487148,-122.362338799999,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/10/24/207767/SPU_AO-07-10-2008-14-59-52.jpg,"Seattle, WA","Seattle Pacific, founded in 1891, is a private, church-affiliated, comprehensive university. It was founded in 1891, adopted coeducation in 1910, and gained university status in 1977. Its 35-acre campus is located in downtown Seattle.","Regular Decision: Feb 1, 2015
			Early Action: Nov 15, 2014","79%
         
          of Applicants Admitted",1500-1830 SAT Total,500-620 SAT Reading,500-610 SAT Math,500-600 SAT Writing,22-27 ACT Composite,22-28 ACT English,21-27 ACT Math,"$45,081

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $31,701","Out-of-State Tuition: $31,701","Room and Board: $2,889",Books & Supplies: $999,"3,417number of undergraduates",private-non-profit,Setting: city,49% Women,
Lafayette College,40.6998781,-75.2079449,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2007/07/20/logo4com.jpg,"Easton, PA","Lafayette College is a private liberal arts institution that was founded in 1826. The student population is 2,406--all undergraduates.  Lafayette devotes all of its resources and research opportunities to the undergraduate experience, with a student-to-endowment ratio that places it in the top 2% nationally.  The campus rests in a suburban setting in Easton, PA, and its physical size totals 340 acres.  The school was recently ranked 33rd on Forbes' list of Best Colleges in America.","Regular Decision: Jan 15, 2015
			Early Decision: Nov 15, 2014","29%
         
          of Applicants Admitted",1770-2070 SAT Total,580-680 SAT Reading,610-710 SAT Math,580-680 SAT Writing,27-30 ACT Composite,27-32 ACT English,26-32 ACT Math,"$59,155

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $45,230","Out-of-State Tuition: $45,230","Room and Board: $13,925","Books & Supplies: $1,000","2,549number of undergraduates",private-non-profit,Setting: suburban,Student/Faculty ratio: 10:1,47% Women
Saint Mary's College of California,37.8412519,-122.1088421,http://z2.cheggcdn.com/sites/default/files/2011/05/16/smcca_logo_0.jpg,"Moraga, CA","Saint Mary's College of California is a private, coeducational college located in Moraga, California, United States, a small suburban community about 10 miles east of Oakland and 20 miles east of San Francisco. It has a 420-acre campus in the Moraga hills. It is affiliated with the Roman Catholic Church and administered by the De La Salle Christian Brothers. It is known for its liberal arts education, including its Great Books and Seminar programs, its business program, which in recent years has become the college's most popular program, as well as the unique 1 month session January Term, and .....","Regular Decision: Feb 1, 2015
			Early Action: Nov 15, 2014","70%
         
          of Applicants Admitted",1460-1770 SAT Total,520-600 SAT Reading,510-600 SAT Math,510-600 SAT Writing,22-27 ACT Composite,,,"$56,535

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $39,740","Out-of-State Tuition: $39,740","Room and Board: $13,810","Books & Supplies: $1,665","2,996number of undergraduates",private-non-profit,Setting: suburban,Student/Faculty ratio: 12:1,62% Women
University of Central Oklahoma,35.6582114,-97.4709821,http://z2.cheggcdn.com/sites/default/files/2010/12/16/university_of_central_oklahoma_0.jpg,"Edmond, OK","The University of Central Oklahoma prepares future leaders in an opportunity-rich environment, ideally located in Edmond, a part of the thriving Oklahoma City metropolitan area.

Under the leadership of President Don Betz, Central offers an innovative learning community to its more than 17,000 students, where teaching comes first, a commitment seeded in the university's roots as a teaching college. Students at Central develop personal relationships with more than 450 full time and 400 adjunct faculty and staff, like 2008 U.S. Professor of the Year, Dr. Wei Chen, who are committed to .....",Offers Rolling Admission,"79%
         
          of Applicants Admitted",,,,,19-24 ACT Composite,18-24 ACT English,17-23 ACT Math,"$16,088

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $4,460","Out-of-State Tuition: $12,135","Room and Board: $3,800","Books & Supplies: $1,200","18,115number of undergraduates",public,Setting: suburban,Student/Faculty ratio: 19:1,50% Women
Troy University,31.7988244,-85.9574086,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2009/10/30/1531162/2600017_Troy_University.JPG,"Troy, AL","Troy State, founded in 1887, is a public university. Programs are offered through Applied Science Programs and the Colleges of Arts & Sciences, Business, Communication & Fine Arts, Education, and Health & Human Services. Its 577-acre campus is located in Troy, 50 miles southeast of Montgomery.",Offers Rolling Admission,"62%
         
          of Applicants Admitted",,,,,18-24 ACT Composite,18-25 ACT English,17-23 ACT Math,"$16,793

Annual tuition, fees, books, supplies, room and board","In-State Tuition: $5,976","Out-of-State Tuition: $11,952","Room and Board: $3,501","Books & Supplies: $1,090","25,182number of undergraduates",public,Setting: rural,46% Women,
